?x	?label
_:B1c9651b3X2D43baX2D4249X2D86adX2Db11b96ae70f3genid103	
_:B1c9651b3X2D43baX2D4249X2D86adX2Db11b96ae70f3genid111	
_:B1c9651b3X2D43baX2D4249X2D86adX2Db11b96ae70f3genid118	
_:B1c9651b3X2D43baX2D4249X2D86adX2Db11b96ae70f3genid123	
_:B1c9651b3X2D43baX2D4249X2D86adX2Db11b96ae70f3genid128	
_:B1c9651b3X2D43baX2D4249X2D86adX2Db11b96ae70f3genid133	
_:B1c9651b3X2D43baX2D4249X2D86adX2Db11b96ae70f3genid145	
_:B1c9651b3X2D43baX2D4249X2D86adX2Db11b96ae70f3genid151	
_:B1c9651b3X2D43baX2D4249X2D86adX2Db11b96ae70f3genid162	
_:B1c9651b3X2D43baX2D4249X2D86adX2Db11b96ae70f3genid166	
_:B1c9651b3X2D43baX2D4249X2D86adX2Db11b96ae70f3genid171	
_:B1c9651b3X2D43baX2D4249X2D86adX2Db11b96ae70f3genid88	
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000003>	"occurrent"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000008>	"temporal region"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable entity"
<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000023>	"role"
<http://purl.obolibrary.org/obo/BFO_0000031>	"generically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/HEPRO_0000001>	"health procedure request"
<http://purl.obolibrary.org/obo/HEPRO_0000003>	"health procedure report"
<http://purl.obolibrary.org/obo/HEPRO_0000004>	"health procedure"
<http://purl.obolibrary.org/obo/HEPRO_0000005>	"health activity"
<http://purl.obolibrary.org/obo/HEPRO_0000006>	"health procedure resulting process"
<http://purl.obolibrary.org/obo/HEPRO_0000007>	"health procedure outcome information"
<http://purl.obolibrary.org/obo/HEPRO_0000008>	"health activity outcome information"
<http://purl.obolibrary.org/obo/HEPRO_0000009>	"health provider identifier"
<http://purl.obolibrary.org/obo/HEPRO_0000010>	"physician identifier"
<http://purl.obolibrary.org/obo/HEPRO_0000011>	"health provider role"
<http://purl.obolibrary.org/obo/HEPRO_0000012>	"health provider"
<http://purl.obolibrary.org/obo/HEPRO_0000013>	"diagnostic health procedure"
<http://purl.obolibrary.org/obo/HEPRO_0000014>	"surgical health procedure"
<http://purl.obolibrary.org/obo/HEPRO_0000030>	"health procedure specification"
<http://purl.obolibrary.org/obo/IAO_0000005>	"objective specification"
<http://purl.obolibrary.org/obo/IAO_0000007>	"action specification"
<http://purl.obolibrary.org/obo/IAO_0000030>	"information content entity"
<http://purl.obolibrary.org/obo/IAO_0000033>	"directive information entity"
<http://purl.obolibrary.org/obo/IAO_0000104>	"plan specification"
<http://purl.obolibrary.org/obo/IAO_0020000>	"identifier"
<http://purl.obolibrary.org/obo/IAO_0020010>	"identifier creating process"
<http://purl.obolibrary.org/obo/IOIO_0000001>	"human birth statement"
<http://purl.obolibrary.org/obo/IOIO_0000002>	"civil birth record"
<http://purl.obolibrary.org/obo/IOIO_0000003>	"human death statement"
<http://purl.obolibrary.org/obo/IOIO_0000004>	"civil death record"
<http://purl.obolibrary.org/obo/IOIO_0000005>	"human birth temporal information"
<http://purl.obolibrary.org/obo/IOIO_0000006>	"human death temporal information"
<http://purl.obolibrary.org/obo/IOIO_0000010>	"biological sex information content entity"
<http://purl.obolibrary.org/obo/IOIO_0000011>	"human biological sex information content entity"
<http://purl.obolibrary.org/obo/IOIO_0000012>	"human biological sex or gender identity information content entity"
<http://purl.obolibrary.org/obo/IOIO_0000013>	"organism identifier"
<http://purl.obolibrary.org/obo/IOIO_0000014>	"human identifier"
<http://purl.obolibrary.org/obo/IOIO_0000015>	"human biological sex statement"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"Eukaryota"
<http://purl.obolibrary.org/obo/NCBITaxon_9606>	"Homo sapiens"
<http://purl.obolibrary.org/obo/OBI_0000011>	"planned process"
<http://purl.obolibrary.org/obo/OBI_0000245>	"organization"
<http://purl.obolibrary.org/obo/OBI_0000260>	"plan"
<http://purl.obolibrary.org/obo/OBI_0100026>	"organism"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000010>	"pragmatically accepted statement"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000011>	"government sanctioned statement"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000027>	"request"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000030>	"temporally qualifying statement"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000031>	"process temporally qualifying statement"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000043>	"agent plan to act as if some statement was true"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000065>	"temporal information"
<http://purl.obolibrary.org/obo/SEPIO_0000174>	"statement"
<http://www.ontologyrepository.com/CommonCoreOntologies/Agent>	"Agent"
